Include,StudyID,GroupID,LaboratoryID,PopulationID,EffectID,Title,Year,Authors_all,Lab_PI,Journal,DOI,Species,Developmental_mode,Mean_clutch_size,SD_clutch_size,SE_clutch_size,Focal_clutch_number,Max_clutch_number,Study_area,Lat_study_area,Long_study_area,Elev_study_area,Year_collection,Study_type,Egg_n_collected,Time_collection,Egg_sampl_method,Egg_store,Egg_homog,Egg_homog_name,Site_horm_measured,Horm_measured,Horm_extracted_colum,Method_horm_meas,AntibodyKit,Horm_units,Horm_mean,Horm_Var,Horm_Var_Type,Exp_mother_egg,Method_mother_exp,Type_mother_exp,Horm_mother_exp,Horm_mother_units,Horm_mother_lab,Horm_mother_applied_dose,Horm_mother_mean_nat,Horm_mother_dose_exp,Horm_mother_SD,Horm_mother_cateogrical_dose,Time_mother_exp,Egg_order_exp,Egg_n_exp,Percent_egg_exp,Time_egg_exp,Method_egg_exp,Site_egg_exp,Horm_egg_exp,Horm_egg_units,Horm_egg_lab,Horm_egg_applied_dose,Horm_egg_mean_nat,Horm_egg_dose_exp,Horm_egg_SD,Horm_egg_cateogrical_dose,Solvent_egg_used_exp,Fitness_trait,Fitness_mother,Fitness_offs,Off_life_stage,Off_age,Off_average_nesting_time,Off_relative_age,Off_sex,Blind_data_recording,Partial_or_selective_data_rep,TestStat_N_level,TestStat_N_clutch,TestStat_N_off,TestStat_Type,TestStat_NumberOfPredictors,TestStat_Value,TestStat_df,TestStat_p,TestStat_p_comment,TestDirection,Exp_N_level,Control_Mean,Control_Var,Control_N_clutch,Control_N_off,Exp_Mean,Exp_Var,Exp_N_clutch,Exp_N_off,Shared_control,Shared_control_ID,Var_type,Var_type_comment ,DataLocation,DataSource,DataReporting,Raw,Notes,Quotes,ExtractionID,Extraction_check_observer,Extraction_check_notes,Reply_LM,Comments_after_author_response,Final_exclusion_paper_why,Least_square_means,Cross_fostering,Incubation_prior,Effect_size_type
yes,rayyan-123814941,GR_L_15,Lab_ID_34,Population_ID_31,NA,Maternal testosterone influences a begging component that makes fathers work harder in chick provisioning,2013,Noguera; Jose C. and Kim; Sin-Yeon and Velando; Alberto,Velando,Hormones and Behaviour,10.1016/j.yhbeh.2013.04.008,Larus michahellis,semi-precocial,NA,NA,NA,NA,NA,Sálvora Island; Galicia; Spain ,42.466667,9,NA,2009,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Sigma; Germany,261,12.6,2071.428571,2,NA,plant oil,offspring,NA,mass,before independence,5;9,NA,NA,NA,NA,no,clutch,NA,35,F-test (linear mixed model),5,0.06,16,0.808,p-value,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p22,text,incomplete,no,The estimate for body mass was pooling together info for days 5 and 9. Also; this info might appear in Noguera et al 2011. THE SAMPLE SIZE IS STRANGE - before they report that only 22 chicks survived. but here they report a total sample size of 35 (25 treated chicks and 10 control). They manipulated 1 out of 3 eggs per nest. ,NA,LM,LM,Lat and long data obtained from other papers done in the same population,NA,NA,"THIS INFO ALSO APPEARS IN NOGUERA ET AL 2010 (""Yolk testosterone reduces oxidative damages…""); although not in the same way (in the other paper they report estimates; not raw data). This info was extracted by PD. Merge info!",no,no,no,F-test (linear mixed model)
yes,rayyan-123814949,GR_N_10,Lab_ID_7,Population_ID_23,NA,Maternal yolk androgens stimulate territorial behaviour in black-headed gull chicks,2009,Müller; W. and Dijkstra; C. and Groothuis; T.G.G.,Groothuis,Biology Letters,10.1098/rsbl.2009.0283,Chroicocephalus ridibundus,semi-precocial,3,NA,NA,NA,NA,Workumer Waard; The Netherlands,NA,NA,NA,2003,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,100,during laying/after clutch completion/before incubation,injection,yolk,androstenedione and testosterone,ug,NA,10.12,NA,NA,NA,NA,plant oil,mother,hatching success,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clutch,72,NA,23,NA,72,NA,26,NA,no,NA,NA,Absolute percentage; no variance,p587,text,complete ,no,NA,NA,LM,LM,This info was missing. I extracted it. ,NA,NA,NA,no,no,no,Absolute
yes,rayyan-123814949,GR_N_10,Lab_ID_7,Population_ID_23,NA,Maternal yolk androgens stimulate territorial behaviour in black-headed gull chicks,2009,Müller; W. and Dijkstra; C. and Groothuis; T.G.G.,Groothuis,Biology Letters,10.1098/rsbl.2009.0283,Chroicocephalus ridibundus,semi-precocial,3,NA,NA,NA,NA,Workumer Waard; The Netherlands,NA,NA,NA,2003,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,100,during laying/after clutch completion/before incubation,injection,yolk,androstenedione and testosterone,ug,NA,10.12,NA,NA,NA,NA,plant oil,offspring,NA,mass,before independence,NA,NA,NA,NA,NA,NA,offspring,NA,27,NA,NA,NA,NA,>0.36,NA,NA,offspring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p587,text,incomplete,no,Despite they state that they meassured useful traits; nothing is properly reported,NA,MNA,LM,NA,NA,NA,NA,no,no,no,NA
yes,rayyan-123814950,GR_N_11,Lab_ID_31,Population_ID_6,NA,Maternal yolk testosterone does not modulate parasite susceptibility or immune function in great tit nestlings,2005,Tschirren; B. and Saladin; V. and Fitze; P.S. and Schwabl; H. and Richner; H.,Tschirren,Journal of Animal Ecology,10.1111/j.1365-2656.2005.00963.x,Parus major,altricial,NA,NA,NA,NA,NA,Bern; Switzerland,46.9,7.28,NA,NA,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,8,100,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Fluka; Switzerland,30,NA,NA,NA,within natural range,plant oil,offspring,NA,mass,before independence,1,21,0.047619048,NA,no,yes,offspring,70,473,F-test (Mixed model),NA,0.059,402,0.809,p-value,positive,offspring,2.025,0.45,NA,239,2.0365,0.428,NA,234,no,NA,SD,NA,p678; word file,text; data sent by authors,complete ,no,"The same as with the previous paper from the author ""GR_N_09"". No data on means and sd/se or raw data. If the statistics are useful its usable","""Nestlings were ranked in their original nest according to body mass and then assigned alternately to stay in their nest or to be transferred to the partner nest. (...) After cross-fostering; all nests contained nestlings hatched from both testosteroneinjected and control eggs.""",MNA,NMA; LM,contact authors for direction and raw data,The authors did not report sample sizes for day 1 (although I guess here is the same number as at hatching = 500). But check. Important; nesltings were cross-fostered between nests. So that all nests contained nestlings hatched from both testo injected and control eggs. It's not clear the number of predictors in the model since they intially had approx 6 factors but in the final model they only included those that were statistically significant. ,The authors provided the missing info.,NA,no,yes,no,Mean
yes,rayyan-123814950,GR_N_11,Lab_ID_31,Population_ID_6,NA,Maternal yolk testosterone does not modulate parasite susceptibility or immune function in great tit nestlings,2005,Tschirren; B. and Saladin; V. and Fitze; P.S. and Schwabl; H. and Richner; H.,Tschirren,Journal of Animal Ecology,10.1111/j.1365-2656.2005.00963.x,Parus major,altricial,NA,NA,NA,NA,NA,Bern; Switzerland,46.9,7.28,NA,NA,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,8,100,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Fluka; Switzerland,30,NA,NA,NA,within natural range,plant oil,offspring,NA,mass,before independence,15,21,0.714285714,NA,no,yes,offspring,63,376,F-test (Mixed model),NA,3.987,272,0.047,p-value,positive,offspring,15.3,1.968,NA,193,15.35,1.817,NA,183,no,NA,NA,NA,p678; word file,text; data sent by authors,complete ,no,"The same as with the previous paper from the author ""GR_N_09"". No data on means and sd/se or raw data. If the statistics are useful its usable","""Nestlings were ranked in their original nest according to body mass and then assigned alternately to stay in their nest or to be transferred to the partner nest. (...) After cross-fostering; all nests contained nestlings hatched from both testosteroneinjected and control eggs.""",MNA,NMA; LM,NA,The authors did not report sample sizes. Important; nesltings were cross-fostered between nests. So that all nests contained nestlings hatched from both testo injected and control eggs.  It's not clear the number of predictors in the model since they intially had approx 6 factors but in the final model they only included those that were statistically significant. ,The authors provided the missing info.,NA,no,yes,no,Mean
yes,rayyan-123814950,GR_N_11,Lab_ID_31,Population_ID_6,NA,Maternal yolk testosterone does not modulate parasite susceptibility or immune function in great tit nestlings,2005,Tschirren; B. and Saladin; V. and Fitze; P.S. and Schwabl; H. and Richner; H.,Tschirren,Journal of Animal Ecology,10.1111/j.1365-2656.2005.00963.x,Parus major,altricial,NA,NA,NA,NA,NA,Bern; Switzerland,46.9,7.28,NA,NA,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,8,100,during laying/after clutch completion/before incubation,injection,yolk,testosterone,ng,Fluka; Switzerland,30,NA,NA,NA,within natural range,plant oil,offspring,NA,tarsus,before independence,15,21,0.714285714,NA,no,yes,offspring,63,376,F-test (Mixed model),NA,1.024,272,0.312,p-value,positive,offspring,19.034,0.728,NA,193,19.072,0.845,NA,183,no,NA,SD,NA,p678; word file,text; data sent by authors,complete ,no,"The same as with the previous paper from the author ""GR_N_09"". No data on means and sd/se or raw data. If the statistics are useful its usable","""Nestlings were ranked in their original nest according to body mass and then assigned alternately to stay in their nest or to be transferred to the partner nest. (...) After cross-fostering; all nests contained nestlings hatched from both testosteroneinjected and control eggs.""",MNA,NMA; LM,contact authors for direction and raw data,The authors did not report sample sizes. Important; nesltings were cross-fostered between nests. So that all nests contained nestlings hatched from both testo injected and control eggs. It's not clear the number of predictors in the model since they intially had approx 6 factors but in the final model they only included those that were statistically significant.  ,The authors provided the missing info.,NA,no,yes,no,Mean
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,androstenedione,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,maternal life time reproductive success,NA,NA,NA,NA,NA,NA,NA,no,clutch,256,NA,Pearson,NA,0.05938578,NA,0.344,(Chi-square mixed model test: estimate: 7;27; number of predictors:5; p-value: 0;007),positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1312; word file,text; data sent by authors,complete,yes,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,NA,NA,NA,NA,no,no,no,Pearson
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,testosterone,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,maternal life time reproductive success,NA,NA,NA,NA,NA,NA,NA,no,clutch,256,NA,Pearson,NA,-0.1322962,NA,0.0344,(Chi-square mixed model test: estimate: 11;48; number of predictors:5; p-value: <0;001),negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1312; word file,text; data sent by authors,complete,yes,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,NA,NA,NA,NA,no,no,no,Pearson
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,androstenedione,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,maternal longevity,NA,NA,NA,NA,NA,NA,NA,no,clutch,256,NA,Pearson,NA,0.05938578,NA,0.344,(z-test; mixed model: 1.993; number of predictors: 5; p-value = 0.046),positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1313,text,complete,yes,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,I added the test direction even though the test already has that info,NA,NA,NA,no,no,no,Pearson
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,testosterone,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,maternal longevity,NA,NA,NA,NA,NA,NA,NA,no,clutch,256,NA,Pearson,NA,-0.1322962,NA,0.0344,(z-test; mixed model: -2.588; number of predictors: 5; p-value = 0.01),negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1313,text,complete,yes,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,I added the test direction even though the test already has that info,NA,NA,NA,no,no,no,Pearson
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,androstenedione,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,clutch size,NA,NA,NA,NA,NA,NA,NA,no,clutch,256,NA,Pearson,NA,0.01748285,NA,0.1031,(Fisher-test; mixed model - estimate: 0;4; number of predictors: 5; degrees of freedom 1; p-value: 0;528) ,positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1313; word file,text; data sent by authors,complete,yes,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,NA,NA,NA,NA,no,no,no,Pearson
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,testosterone,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,clutch size,NA,NA,NA,NA,NA,NA,NA,no,clutch,256,NA,Pearson,NA,-0.04873908,NA,0.7811,(Fisher-test; mixed model - estimate: 0;875; number of predictors: 5; degrees of freedom 1; p-value: 0;351) ,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1313; word file,text; data sent by authors,complete,yes,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,NA,NA,NA,NA,no,no,no,Pearson
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,androstenedione,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,offspring recruit,NA,after independence,NA,NA,NA,female,NA,no,clutch,256,NA,Chi-square (negative binomial mixed model),4,11.403,NA,<0.001,p-value,positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1313,text,complete,no,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,NA,NA,NA,NA,no,no,no,Chi-square (negative binomial mixed model)
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,androstenedione,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,offspring recruit,NA,after independence,NA,NA,NA,male,NA,no,clutch,256,NA,Chi-square (negative binomial mixed model),4,0.486,NA,0.486,p-value,positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1313,text,complete,no,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,NA,NA,NA,NA,no,no,no,Chi-square (negative binomial mixed model)
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,testosterone,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,offspring recruit,NA,after independence,NA,NA,NA,female,NA,no,clutch,256,NA,Chi-square (negative binomial mixed model),4,11.182,NA,<0.001,p-value,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1313,text,complete,no,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,NA,NA,NA,NA,no,no,no,Chi-square (negative binomial mixed model)
yes,rayyan-123815011,GR_P_03,Lab_ID_4,Population_ID_10,NA,Natural selection acts in opposite ways on correlated hormonal mediators of prenatal maternal effects in a wild bird population,2014,Tschirren; B. and Postma; E. and Gustafsson; L. and Groothuis; T.G.G. and Doligez; B.,Doligez,Ecology Letters,10.1111/ele.12339,Ficedula albicollis,altricial,6.1,0.7,NA,NA,NA,Gotland; Sweden,57.17,18.33,NA,2003- 2005- 2006- 2007,correlational,3,same day that it was laid,entire egg removed,yolk stored separately,NA,NA,yolk,testosterone,no,RIA (radio inmuno assay),Diagnostic System Laboratories; USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mother,offspring recruit,NA,after independence,NA,NA,NA,male,NA,no,clutch,256,NA,Chi-square (negative binomial mixed model),4,4,NA,0.046,p-value,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p1313,text,complete,no,The lab were hormones were analyzed was probably Groothuis (not Dolinguez which is the last author). Figure 1 presents raw data for testosterone and androstenedione - but values are standardized (mean 0; SD 1). ,NA,PBD,LM; ASF,NA,NA,NA,NA,no,no,no,Chi-square (negative binomial mixed model)
yes,rayyan-123815076,GR_P_16,Lab_ID_20,Population_ID_4,NA,Optimizing the trade-off between offspring number and quality in unpredictable environments: Testing the role of differential androgen transfer to collared flycatcher eggs,2013,Rice; Amber M. and Vallin; Niclas and Kulma; Katarzyna and Arntsen; Hanna and Husby; Arild and Tobler; Michael and Qvarnstrom; Anna,Qvarnstrom,Hormones and Behavior,10.1016/j.yhbeh.2013.03.019,Ficedula albicollis,altricial,6,NA,NA,1,NA,Baltic Island of Öland; Sweden,57.166667,16.966667,NA,2008,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,6,100,early stages of incubation,injection,yolk,androstenedione and testosterone,ng,NA,16,NA,NA,1,within natural range,plant oil,mother,hatching success,NA,NA,NA,NA,NA,NA,NA,yes,clutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,clutch,0.8,0.32,26,NA,0.58,0.27,53,NA,no,NA,SD,NA,p815,text,complete,no,The authors initially injected eggs from more clutches; but they did not hatch because of problems during e.g. handling. This is why I considered only the hatching success of control vs experimental groups (the later combines all egg injected and only the last 2 eggs injected).,"""Collected eggs were placed in an incubator at a constant temperature (37 °C) and kept there for 1.65 ± 0.99 days (mean ± SD) (range 1–6 days)""",PBD,LM,Summed Andro and Test.,On the 4th day of incubation; eggs were placed in an incubator for some days. This was to to ensure that manipulated eggs were at the same developmental stage. Experimental group composed by clucthes were all eggs were injected and eggs were only the two last eggs were injected,NA,NA,no,no,yes,Mean
yes,rayyan-123815076,GR_P_16,Lab_ID_20,Population_ID_4,NA,Optimizing the trade-off between offspring number and quality in unpredictable environments: Testing the role of differential androgen transfer to collared flycatcher eggs,2013,Rice; Amber M. and Vallin; Niclas and Kulma; Katarzyna and Arntsen; Hanna and Husby; Arild and Tobler; Michael and Qvarnstrom; Anna,Qvarnstrom,Hormones and Behavior,10.1016/j.yhbeh.2013.03.019,Ficedula albicollis,altricial,6,NA,NA,1,NA,Baltic Island of Öland; Sweden,57.166667,16.966667,NA,2008,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entire clutch,6,100,early stages of incubation,injection,yolk,androstenedione and testosterone,ng,NA,16,NA,NA,1,within natural range,plant oil,offspring,NA,mass,before independence,14,15,0.933333333,NA,NA,NA,offspring,NA,107,NA,NA,NA,NA,NA,NA,NA,clutch,14.424,1.533,26,NA,14.539,1.416,25,NA,no,NA,SD,NA,word file,data sent by authors,complete,no,"1 Egg per clutch was taken and replaced with a dummy for a different experiment. 
In one of the experimental treatment only 2 eggs of the cluch are treated with androgen but then once hatched it was not possible to know which chick was treated.
I report this line only to signal that the data about mass at fledging are potentially available but not reported.  
Hormone SD is taken from other study.","""Collected eggs were placed in an incubator at a constant temperature (37 °C) and kept there for 1.65 ± 0.99 days (mean ± SD) (range 1–6 days)""",PBD,PD; LM,Summed Andro and Test. ,On the 4th day of incubation; eggs were placed in an incubator for some days. This was to to ensure that manipulated eggs were at the same developmental stage. The authors say that nestling time is between 14; 15 days. I wrote 15 (i.e.; the higher value). The authors report mass for the three experimental groups together. Hence; we do not have the info per group. We need to contact the authors to check if we can get this information.,NA,NA,no,no,yes,Mean
