"label","title","author","journal","issn","volume","number","pages","year","publisher","doi","abstract"
"D.Amore2015147","Maternal investment influences development of behavioural syndrome in swordtail fish, Xiphophorus multilineatus","D'Amore, D.M. and Rios-Cardenas, O. and Morris, M.R.","Animal Behaviour","00033472","103",NA,"147-151","2015","Academic Press","10.1016/j.anbehav.2015.02.013","Despite a rising interest in behavioural syndromes (correlations between different behaviours across context and time), the development of these syndromes is not well understood. Using the swordtail fish Xiphophorus multilineatus, we looked at the effects of maternal investment and social environment during development on the formation of a behavioural syndrome. A previous study demonstrated that the diet on which mothers were reared, controlling for their size, influenced the growth rate and size of their sons: females reared on high-quality diets had sons that grew faster and were larger at sexual maturity. In addition, males that were exposed to an adult male during development grew faster. We examined the behaviours of these same males across two contexts: aggression towards a mirror image and boldness under threat of predation. We detected an influence of maternal investment but not of social environment on the formation of a behavioural syndrome. The sons of mothers reared on high-quality diets exhibited a positive correlation between boldness and aggression, while there was no correlation among the sons of mothers reared on low-quality diets. Maternal investment influenced the formation of the syndrome by producing changes in only one of the behaviours, the behaviour most closely linked to energy acquisition (boldness under risk of predation) rather than energy expenditure (aggression). Our results suggest that energy balances could help predict the circumstances that would favour the formation of behavioural syndromes. Our results also support the hypothesis that behaviours involved in energy acquisition as compared to energy use will be more sensitive to fluctuations in variation in resources.  2015 The Association for the Study of Animal Behaviour."
"Eaton201510","Mild maternal stress disrupts associative learning and increases aggression in offspring","Eaton, L. and Edmonds, E.J. and Henry, T.B. and Snellgrove, D.L. and Sloman, K.A.","Hormones and Behavior","0018506X","71",NA,"10-15","2015","Academic Press Inc.","10.1016/j.yhbeh.2015.03.005","Maternal stress has been shown to affect behaviour of offspring in a wide range of animals, but this evidence has come from studies that exposed gestating mothers to acute or severe stressors, such as restraint or exposure to synthetic stress hormones. Here we show that exposure of mothers to even a mild stressor reduces associative learning and increases aggression in offspring. Female guppies were exposed to routine husbandry procedures that produced only a minimal, non-significant, elevation of the stress hormone cortisol. In contrast to controls, offspring from mothers that experienced this mild stress failed to learn to associate a colour cue and food reward, and showed a greater amount of inter-individual variation in behaviour compared with control offspring. This mild stress also resulted in offspring that were more aggressive towards their own mirror image than controls. While it is possible that these results could represent the transmission of beneficial maternal characteristics to offspring born into unpredictable environments, the potential for mild maternal stress to affect offspring performance also has important implications for research into the trans-generational effects of stress.  2015 Elsevier Inc."
"Lahaye201549","Influence of mate preference and laying order on maternal allocation in a monogamous parrot species with extreme hatching asynchrony","Lahaye, S.E.P. and Eens, M. and Iserbyt, A. and Groothuis, T.G.G. and de Vries, B. and Mller, W. and Pinxten, R.","Hormones and Behavior","0018506X","71",NA,"49-59","2015","Academic Press Inc.","10.1016/j.yhbeh.2015.03.009","It is well established that in many avian species, prenatal maternal resource allocation varies both between and within clutches and may affect offspring fitness. Differential allocation of maternal resources, in terms of egg weight and yolk composition, may therefore allow the female to adjust brood reduction and to fine-tune reproductive investment in accordance with the expected fitness returns. The adaptive value of such maternal resource allocation is thought to be context-dependent as well as species-specific. We investigated the effects of female preference for her mate on the allocation of prenatal maternal resources in the budgerigar, Melopsittacus undulatus, a monogamous species of parrot that shows an extreme hatching asynchrony. We assessed mate preferences in a two-way preference test and allowed females two breeding rounds: one with the preferred and one with the non-preferred partner. We found no effect of preference on either latency to lay or clutch size, but females mated with the preferred partner laid eggs that contained significantly more yolk. Their eggs also contained significantly more androstenedione but not testosterone. Our results suggest that in this species, female preference may influence maternal resource allocation, and that the functional roles of each androgen in the yolk should be considered separately. In addition, we found a significant effect of laying order on egg and yolk weight as well as on yolk testosterone and androstenedione levels. These measures, however, did not change linearly with the laying order and render it unlikely that female budgerigars compensate for the extreme hatching asynchrony by adjusting within-clutch allocation of prenatal maternal resources.  2015 Elsevier Inc.."
"Hill20151","Alternative reproductive tactics in female striped mice: Solitary breeders have lower corticosterone levels than communal breeders","Hill, D.L. and Pillay, N. and Schradin, C.","Hormones and Behavior","0018506X","71",NA,"1-9","2015","Academic Press Inc.","10.1016/j.yhbeh.2015.03.004","Alternative reproductive tactics (ARTs), where members of the same sex and population show distinct reproductive phenotypes governed by decision-rules, have been well-documented in males of many species, but are less well understood in females. The relative plasticity hypothesis (RPH) predicts that switches between plastic ARTs are mediated by changes in steroid hormones. This has received much support in males, but little is known about the endocrine control of female ARTs. Here, using a free-living population of African striped mice (Rhabdomys pumilio) over five breeding seasons, we tested whether females following different tactics differed in corticosterone and testosterone levels, as reported for male striped mice using ARTs, and in progesterone and oestrogen, which are important in female reproduction. Female striped mice employ three ARTs: communal breeders give birth in a shared nest and provide alloparental care, returners leave the group temporarily to give birth, and solitary breeders leave to give birth and do not return. We expected communal breeders and returners to have higher corticosterone, owing to the social stress of group-living, and lower testosterone than solitary breeders, which must defend territories alone. Solitary breeders had lower corticosterone than returners and communal breeders, as predicted, but testosterone and progesterone did not differ between ARTs. Oestrogen levels were higher in returners (measured before leaving the group) than in communal and solitary breeders, consistent with a modulatory role. Our study demonstrates hormonal differences between females following (or about to follow) different tactics, and provides the first support for the RPH in females.  2015 Elsevier Inc."
"Giordano2015777","Female oxidative status, egg antioxidant protection and eggshell pigmentation: a supplemental feeding experiment in great tits","Giordano, M. and Costantini, D. and Pick, J.L. and Tschirren, B.","Behavioral Ecology and Sociobiology","03405443","69","5","777-785","2015","Springer Verlag","10.1007/s00265-015-1893-1","Oxidative stress has been suggested as a mechanism underlying the costs of reproduction and life history trade-offs. Reproductive activities may lead to high production of pro-oxidants, whose activity can generate oxidative damage when not countered by adequate antioxidant defenses. Because inter-individual differences in the efficiency of the antioxidant system are influenced by an individuals diet, food availability experienced during reproduction may affect the females antioxidant status and, in birds, their ability to transfer antioxidants into their eggs. Moreover, a females ability to cope with oxidative stress has been suggested to influence pigment deposition in the eggshell, suggesting a possible signaling function of eggshell maculation. Here we performed a food supplementation experiment in a natural population of great tits (Parus major) in order to investigate how nutritional conditions experienced during the egg laying period affect the females oxidative status and egg investment and how maternal oxidative status and egg antioxidant protection relate to eggshell pigmentation. We show that food-supplemented females had lower oxidative damage levels (ROMs) than non-food-supplemented females. Furthermore, a females ROMs levels were negatively associated with the levels of yolk antioxidant protection in her eggs, but this negative association was only significant in non-food-supplemented females. This suggests that oxidative stress experienced during reproduction influences the allocation of antioxidants into the eggs. Moreover, we observed a positive relationship between eggshell pigment distribution and maternal and yolk antioxidant protection, suggesting that eggshell pigmentation is a cue of female (and offspring) quality.  2015, Springer-Verlag Berlin Heidelberg."
"Nicol20151","The behavioural biology of chickens","Nicol, C.J.","The Behavioural Biology of Chickens",NA,NA,NA,"1-192","2015","CABI International",NA,"Chickens are by far the world's most widely farmed animal, kept for both meat and egg production. They are at the centre of many debates regarding housing and production systems, causing significant interest in what lies behind chicken behaviour. This accessible book covers sensory biology, behavioural development, preferences and aversions, social behaviour, learning and cognition, behavioural issues in different systems and solutions for behavioural problems. Authored by an authority on chicken ethology, it brings together the fields of animal behaviour, neuroscience, psychology and epidemiology to provide a comprehensive understanding of chicken behaviour and help improve the lives of farmed chickens around the world.  C.J. Nicol 2015. All rights reserved."
"Klliker2015","Parent-offspring conflict and the genetic trade-offs shaping parental investment","Klliker, M. and Boos, S. and Wong, J.W.Y. and Rllin, L. and Stucki, D. and Raveh, S. and Wu, M. and Meunier, J.","Nature Communications","20411723","6",NA,NA,"2015","Nature Publishing Group","10.1038/ncomms7850","The genetic conflict between parents and their offspring is a cornerstone of kin selection theory and the gene-centred view of evolution, but whether it actually occurs in natural systems remains an open question. Conflict operates only if parenting is driven by genetic trade-offs between offspring performance and the parent  s ability to raise additional offspring, and its expression critically depends on the shape of these trade-offs. Here we investigate the occurrence and nature of genetic conflict in an insect with maternal care, the earwig Forficula auricularia. Specifically, we test for a direct response to experimental selection on female future reproduction and correlated responses in current offspring survival, developmental rate and growth. The results demonstrate genetic trade-offs that differ in shape before and after hatching. Our study not only provides direct evidence for parent-offspring conflict but also highlights that conflict is not inevitable and critically depends on the genetic trade-offs shaping parental investment  2015 Macmillan Publishers Limited. All rights reserved."
"Savage2015189","Maternal allocation in cooperative breeders: Should mothers match or compensate for expected helper contributions?","Savage, J.L. and Russell, A.F. and Johnstone, R.A.","Animal Behaviour","00033472","102",NA,"189-197","2015","Academic Press","10.1016/j.anbehav.2015.01.015","Among species with variable numbers of individuals contributing to offspring care, an individual's investment strategy should depend upon both the size of the breeding group and the relative contributions of each carer. Existing theoretical work on carer investment rules has, however, largely focused on biparental care, and on modelling offspring provisioning in isolation from other stages of investment. Consequently, there has been little exploration of how maternal investment prior to birth might be expected to influence carer provisioning decisions after birth, and how these should be modified by the number of carers present. In particular, it is unclear whether mothers should increase or decrease their investment in each offspring under favourable rearing conditions, and whether this differs under alternative assumptions about the consequences of being 'high quality' at birth. We develop a game-theoretical model of cooperative care that incorporates female control of prebirth investment, and allow increased maternal investment to either substitute for later investment (giving offspring a 'head start') or raise the value of later investment (a 'silver spoon'). We show that mothers reduce prebirth investment under better rearing conditions (more helpers) when investment is substitutable, leading to concealed helper effects. In contrast, when maternal prebirth investment primes offspring to benefit more from postbirth care, mothers should take advantage of good care environments by investing more in offspring both before and after birth. These results provide novel mechanisms to explain contrasting patterns of maternal investment across cooperative breeders.  2015."
"Paquet2015251","A cross-fostering experiment reveals that prenatal environment affects begging behaviour in a cooperative breeder","Paquet, M. and Covas, R. and Doutrelant, C.","Animal Behaviour","00033472","102",NA,"251-258","2015","Academic Press","10.1016/j.anbehav.2015.01.034","Prenatal breeding conditions have broad influences on maternal allocation to reproduction which can strongly affect future begging behaviours of offspring. The social environment is part of the prenatal environment; however, its influence on maternal allocation has been poorly investigated and experimental tests linking prenatal conditions to begging behaviour have seldom been conducted. In cooperative breeders the presence of additional carers, the helpers, generally predicts an increase in provisioning during the nestling stage. Since begging is costly, in these species producing offspring that beg less in the presence of helpers may be a way of saving energy not only for the offspring but also for the future survival and reproduction of females. To date, whether mothers may manipulate begging behaviour in relation to helper presence is unstudied. We conducted a cross-fostering experiment in a cooperatively breeding bird, the sociable weaver, Philetairus socius, to disentangle the possible effects of prenatal and postnatal environments on begging behaviour. Pre- and postnatal environments correspond here to the number of carers in the nest of origin and the foster nest, respectively. As predicted, begging was influenced by the prenatal environment, with nestlings originally from larger groups begging less. In addition, chicks fed by more foster birds also begged at a lower rate. We conclude that the prenatal environment influences begging behaviour. This result has important implications for understanding cooperative breeding strategies since producing offspring that beg less with more helpers may allow energy savings for females and related offspring and helpers.  2015 The Association for the Study of Animal Behaviour."
"Dugas20151089","Commentary: Parental care and the proximate links between maternal effects and offspring fitness","Dugas, M.B.","Oecologia","00298549","177","4","1089-1092","2015","Springer Verlag","10.1007/s00442-015-3266-x","Maternal effects influence the phenotype of offspring through non-genetic mechanisms, and thus are important components of individual life-histories and act as drivers of and/or constraints on phenotypic evolution. A maternal effect common in egg-laying vertebrates is provisioning of the yolk with carotenoids, organic pigments that often color sexual ornaments and are hypothesized to play positive and substantial physiological roles. In a recent study, yolks of great tit (Parus major) eggs were directly supplemented with carotenoids, and the effects on offspring fitness proxies measured (Marri and Richner in Oecologia 176:371377, 2014a). Nestlings from supplemented broods were heavier early in development and more likely to fledge, but otherwise equivalent to control nestlings. The authors consider in detail the potential physiological mechanisms that might underlie this result, and here I expand on their Discussion by considering a non-exclusive explanation: that parents provided higher quality care to broods that received supplemental carotenoids. I discuss the general non-independence of pre- and post-hatching/parturition maternal effects when parents care for offspring, and then briefly review evidence that carotenoids specifically are tied to the intensity of avian begging displays. Finally, I detail how inclusive fitness opportunities and constraints shape the adaptive landscape in which maternal effects operate, highlighting both theoretical and applied concerns surrounding questions about the adaptiveness of maternal effects.  2015, Springer-Verlag Berlin Heidelberg."
"Paitz2015","The in ovo conversion of oestrone to oestrone sulfate is rapid and subject to inhibition by bisphenol a","Paitz, R.T. and Bowden, R.M.","Biology Letters","17449561","11","4",NA,"2015","Royal Society of London","10.1098/rsbl.2014.0946","Vertebrate embryos develop in the presence of maternally derived steroids. While these steroids can influence development, embryonic enzymes are thought to buffer some steroid sensitive processes, such as gonadal differentiation, from the effects of maternal steroids. Many of these same enzymes may also buffer the embryo from chemicals present in the environment, but this may alter their capacity to metabolize maternal steroids. Here, we characterized the ability of red-eared slider (Trachemys scripta) embryos to metabolize oestrone immediately following oviposition and tested whether a prevalent environmental chemical, Bisphenol A (BPA), would affect the in ovo conversion of oestrone to oestrone sulfate. We found that tritiated oestrone applied at the time of oviposition is mostly converted to oestrone sulfate within 6 h. However, when BPA is present, that conversion is inhibited, resulting in elevated oestrone levels. Our finding of rapid in ovo metabolism of steroids suggests that maternally derived enzymes are present in the egg and can alter embryonic exposure to exogenous chemicals. The disruption of this metabolism by BPA demonstrates how environmental chemicals might change embryonic exposure to endogenous substances within the egg. Taken together, these findings highlight the dynamic nature of the early endocrine environment in developing vertebrates.  2015 The Author(s) Published by the Royal Society. All rights reserved."
"Lou201538","Maternal dietary protein supplement confers long-term sex-specific beneficial consequences of obesity resistance and glucose tolerance to the offspring in Brandt's voles","Lou, M.-F. and Shen, W. and Fu, R.-S. and Zhang, X.-Y. and Wang, D.-H.","Comparative Biochemistry and Physiology -Part A : Molecular and Integrative Physiology","10956433","182",NA,"38-44","2015","Elsevier Inc.","10.1016/j.cbpa.2014.12.002","Maternal under- or over-nutrition not only alters neonatal body mass but also increases the risk of metabolic disorders in adulthood. Little is known about how maternal dietary protein affects offspring fitness in wild rodents. The present study was conducted to test the hypothesis that maternal dietary protein supplement has a long-term beneficial effect on offspring fitness in Brandt's vole (. Lasiopodomys brandtii), a herbivorous rodent model. The vole dams were fed either a control (18% protein) or high-protein (36% protein) diet throughout pregnancy and lactation. After weaning, all offspring received a control diet till 14. weeks old. Energetic parameters, serum leptin concentration and glucose tolerance were measured. The adult offspring were fed high-fat diet for 8. weeks, and body weight and food intake were measured. No difference was observed in litter size, litter mass or pup mass before weaning. Maternal protein supplement increased body mass and the mass of reproductive organ but decreased digestibility and fat deposition and alleviated HFD-induced obesity especially in the males. Glucose tolerance was elevated in the offspring from maternal protein supplement, especially in the females. The accelerated growth may be associated with high serum leptin concentration at weaning, a state of leptin resistance, and the low digestibility may predispose obesity resistance especially in male offspring from maternal high-protein diet. These data demonstrate that maternal protein supplement confers the long-term sex-specific beneficial consequences of accelerated growth and improved obesity resistance and glucose tolerance of their offspring.  2014 Elsevier Inc."
"Bhandari2015195","Effects of the environmental estrogenic contaminants bisphenol A and 17-ethinyl estradiol on sexual development and adult behaviors in aquatic wildlife species","Bhandari, R.K. and Deem, S.L. and Holliday, D.K. and Jandegian, C.M. and Kassotis, C.D. and Nagel, S.C. and Tillitt, D.E. and vom Saal, F.S. and Rosenfeld, C.S.","General and Comparative Endocrinology","00166480","214",NA,"195-219","2015","Academic Press Inc.","10.1016/j.ygcen.2014.09.014","Endocrine disrupting chemicals (EDCs), including the mass-produced component of plastics, bisphenol A (BPA) are widely prevalent in aquatic and terrestrial habitats. Many aquatic species, such as fish, amphibians, aquatic reptiles and mammals, are exposed daily to high concentrations of BPA and ethinyl estradiol (EE2), estrogen in birth control pills. In this review, we will predominantly focus on BPA and EE2, well-described estrogenic EDCs. First, the evidence that BPA and EE2 are detectable in almost all bodies of water will be discussed. We will consider how BPA affects sexual and neural development in these species, as these effects have been the best characterized across taxa. For instance, such chemicals have been in many cases reported to cause sex-reversal of males to females. Even if these chemicals do not overtly alter the gonadal sex, there are indications that several EDCs might demasculinize male-specific behaviors that are essential for attracting a mate. In so doing, these chemicals may reduce the likelihood that these males reproduce. If exposed males do reproduce, the concern is that they will then be passing on compromised genetic fitness to their offspring and transmitting potential transgenerational effects through their sperm epigenome. We will thus consider how diverse epigenetic changes might be a unifying mechanism of how BPA and EE2 disrupt several processes across species. Such changes might also serve as universal species diagnostic biomarkers of BPA and other EDCs exposure. Lastly, the evidence that estrogenic EDCs-induced effects in aquatic species might translate to humans will be considered.  2014 Elsevier Inc."
"Strong201547","Feather corticosterone content in predatory birds in relation to body condition and hepatic metal concentration","Strong, R.J. and Pereira, M.G. and Shore, R.F. and Henrys, P.A. and Pottinger, T.G.","General and Comparative Endocrinology","00166480","214",NA,"47-55","2015","Academic Press Inc.","10.1016/j.ygcen.2015.03.002","This study investigated the feasibility of measuring corticosterone in feathers from cryo-archived raptor specimens, in order to provide a retrospective assessment of the activity of the stress axis in relation to contaminant burden. Feather samples were taken from sparrowhawk Accipiter nisus, kestrel Falco tinnunculus, buzzard Buteo buteo, barn owl Tyto alba, and tawny owl Strix aluco and the variation in feather CORT concentrations with respect to species, age, sex, feather position, and body condition was assessed. In sparrowhawks only, variation in feather CORT content was compared with hepatic metal concentrations. For individuals, CORT concentration (pgmm-1) in adjacent primary flight feathers (P5 and P6), and left and right wing primaries (P5), was statistically indistinguishable. The lowest concentrations of CORT were found in sparrowhawk feathers and CORT concentrations did not vary systematically with age or sex for any species. Significant relationships between feather CORT content and condition were observed in only tawny owl and kestrel. In sparrowhawks, feather CORT concentration was found to be positively related to the hepatic concentrations of five metals (Cd, Mn, Co, Cu, Mo) and the metalloid As. There was also a negative relationship between measures of condition and total hepatic metal concentration in males. The results suggest that some factors affecting CORT uptake by feathers remain to be resolved but feather CORT content from archived specimens has the potential to provide a simple effects biomarker for exposure to environmental contaminants.  2015 Elsevier Inc."
"Herrington2015255","Increased yolk progesterone interferes with prenatal auditory learning and elevates emotional reactivity in bobwhite quail (Colinus virginianus) chicks","Herrington, J. and Vallin, C. and Lickliter, R.","Developmental Psychobiology","00121630","57","2","255-262","2015","John Wiley and Sons Inc.","10.1002/dev.21274","Avian eggs contain maternally derived hormones, including testosterone and progesterone. Little is currently known about the effects of these hormones on early behavioral development. We assessed the effects of elevated levels of progesterone levels on prenatal perceptual learning and postnatal emotional reactivity in Northern bobwhite quail. Prior to incubation, eggs received an injection of either progesterone (P) or oil vehicle (V). In P eggs, levels of progesterone were elevated two standard deviations above the mean based on ELISA analysis of progesterone yolk concentrations from a previous study. A third group of eggs served as controls and received no injection (C). Chicks hatched from P eggs displayed elevated levels of emotional reactivity compared to V and C chicks in a tonic immobility task and a hole-in-the-wall emergence task. Chicks from P eggs also failed to demonstrate a preference for a familiarized bobwhite maternal call that had been presented prenatally. In contrast, the V and C chicks demonstrated a significant preference for the familiarized maternal call following hatching, indicating prenatal auditory learning. Our results are consistent with previous findings from precocial birds demonstrating that hormones of maternal origin can influence prenatal perceptual learning as well as emotional reactivity in the period following hatching.  2015 Wiley Periodicals, Inc."
"Ryan20151","Uncoupling clutch size, prolactin, and luteinizing hormone using experimental egg removal","Ryan, C.P. and Dawson, A. and Sharp, P.J. and Williams, T.D.","General and Comparative Endocrinology","00166480","213",NA,"1-8","2015","Academic Press Inc.","10.1016/j.ygcen.2015.02.005","Clutch size is a key avian fitness and life history trait. A physiological model for clutch size determination (CSD), involving an anti-gonadal effect of prolactin (PRL) via suppression of luteinizing hormone (LH), was proposed over 20. years ago, but has received scant experimental attention since. The few studies looking at a PRL-based mechanistic hypothesis for CSD have been equivocal, but recent experiments utilizing a pharmacological agent to manipulate PRL in the zebra finch (. Taeniopygia guttata) found no support for a role of this hormone in clutch size determination. Here, we take a complementary approach by manipulating clutch size through egg removal, examining co-variation in PRL and LH between two breeding attempts, as well as through experimentally-extended laying. Clutch size increased for egg removal females, but not controls, but this was not correlated with changes in PRL or LH. There were also no differences in PRL between egg removal females and controls, nor did PRL levels during early, mid- or late-laying of supra-normal clutches predict clutch size. By uncoupling PRL, LH and clutch size in our study, several key predictions of the PRL-based mechanistic model for CSD were not supported. However, a positive correlation between PRL levels late in laying and days relative to the last egg (clutch completion) provides an alternative explanation for the equivocal results surrounding the conventional PRL-based physiological model for CSD. We suggest that females coordinate PRL-mediated incubation onset with clutch completion to minimize hatching asynchrony and sibling hierarchy, a behavior that is amplified in females laying larger clutches.  2015 Elsevier Inc."
"Burris2015722","First evidence of biased sex ratio at birth in a calanoid copepod","Burris, Z.P. and Dam, H.G.","Limnology and Oceanography","19395590","60","2","722-731","2015","Wiley Blackwell","10.1002/lno.10056","To test the hypothesis that the sex ratio of the copepod Acartia tonsa is biased at birth, adult sex ratios of the offspring of families (21 families in 2011 and 72 in 2013) produced by field-caught females were determined in the laboratory under controlled conditions. Sex ratios at birth were estimated from the adult sex ratio, and after applying a correction in which all dead/missing individuals were counted as the rarer sex (males). Before correction the overall population sex ratio was female biased during both years, with over 42% of mothers producing clutches that were significantly different from unity. After correction, 25% (2013) to 33% (2011) of mothers still produced significantly biased sex ratios. The ratio of deaths of males to females had to be 1.75 to 1 (2011) and 7.25 to 1 (2013) for sex ratios not to be biased at birth. There was no evidence of sex reversal in any individual from juvenile (C4 stage) to adult, implying that juvenile sex ratios were also significantly biased. Hence, neither sex reversal nor differential mortality of the sexes is a likely explanation for the observed skewed sex ratios. The sex ratios at birth varied widely from the expectation from Mendelian inheritance of sex chromosomes, suggesting that another mechanism is responsible for skewed sex ratios at birth. Since the majority of families with biased sex ratios at birth were female dominated as adults, biased sex ratio at birth may contribute to the skewed sex ratio of adults observed in the field.  2015 Association for the Sciences of Limnology and Oceanography"
"Ramallo2015139","A multidisciplinary study on social status and the relationship between inter-individual variation in hormone levels and agonistic behavior in a Neotropical cichlid fish","Ramallo, M.R. and Birba, A. and Honji, R.M. and Morandini, L. and Moreira, R.G. and Somoza, G.M. and Pandolfi, M.","Hormones and Behavior","0018506X","69",NA,"139-151","2015","Academic Press Inc.","10.1016/j.yhbeh.2015.01.008","Social animals with hierarchal dominance systems are particularly susceptible to their social environment. There, interactions with conspecifics and hierarchal position can greatly affect an individual's behavior, physiology and reproductive success. Our experimental model, Cichlasoma dimerus, is a serially-monogamous Neotropical cichlid fish with a hierarchical social system, established and sustained through agonistic interactions. In this work, we aimed to describe C. dimerus social structure and its association with hormonal profiles and testicular cellular composition. We recorded and quantified agonistic interactions from the territorial pair, i.e. the top ranked male and female, and the lowest ranked male of stable social groups. Plasma levels of 11-ketotestosterone (11-KT), testosterone, 17-estradiol (E2) and cortisol were measured by ELISA. Results show that territorial pairs cooperatively guarded the territory, but rarely attacked in synchrony. Territorial males had higher testosterone and 11-KT plasma levels than non-territorial males, while E2 and an index of its metabolization from testosterone were higher in non-territorial males. No difference was observed in cortisol levels. Plasma 11-KT and an index of the conversion of testosterone to 11-KT, positively correlated with the frequency of aggressiveness, while E2 showed the opposite pattern. Territorial males had a higher gonadosomatic index than non-territorial males. The quantification of testicular cellular types revealed that the percentage of spermatocytes and spermatids was higher in non-territorial males, while territorial males showed a greater percentage of spermatozoa. Thus, C. dimerus male social position within a stable hierarchy is associated with distinct behaviors, steroid levels and testicular degree of development.  2015 Elsevier Inc."
"Groh2015764","Development and application of the adverse outcome pathway framework for understanding and predicting chronic toxicity: I. Challenges and research needs in ecotoxicology","Groh, K.J. and Carvalho, R.N. and Chipman, J.K. and Denslow, N.D. and Halder, M. and Murphy, C.A. and Roelofs, D. and Rolaki, A. and Schirmer, K. and Watanabe, K.H.","Chemosphere","00456535","120",NA,"764-777","2015","Elsevier Ltd","10.1016/j.chemosphere.2014.09.068","To elucidate the effects of chemicals on populations of different species in the environment, efficient testing and modeling approaches are needed that consider multiple stressors and allow reliable extrapolation of responses across species. An adverse outcome pathway (AOP) is a concept that provides a framework for organizing knowledge about the progression of toxicity events across scales of biological organization that lead to adverse outcomes relevant for risk assessment. In this paper, we focus on exploring how the AOP concept can be used to guide research aimed at improving both our understanding of chronic toxicity, including delayed toxicity as well as epigenetic and transgenerational effects of chemicals, and our ability to predict adverse outcomes. A better understanding of the influence of subtle toxicity on individual and population fitness would support a broader integration of sublethal endpoints into risk assessment frameworks. Detailed mechanistic knowledge would facilitate the development of alternative testing methods as well as help prioritize higher tier toxicity testing. We argue that targeted development of AOPs supports both of these aspects by promoting the elucidation of molecular mechanisms and their contribution to relevant toxicity outcomes across biological scales. We further discuss information requirements and challenges in application of AOPs for chemical- and site-specific risk assessment and for extrapolation across species. We provide recommendations for potential extension of the AOP framework to incorporate information on exposure, toxicokinetics and situation-specific ecological contexts, and discuss common interfaces that can be employed to couple AOPs with computational modeling approaches and with evolutionary life history theory. The extended AOP framework can serve as a venue for integration of knowledge derived from various sources, including empirical data as well as molecular, quantitative and evolutionary-based models describing species responses to toxicants. This will allow a more efficient application of AOP knowledge for quantitative chemical- and site-specific risk assessment as well as for extrapolation across species in the future.  2014 The Authors."
"Finger201563","Reference levels for corticosterone and immune function in farmed saltwater crocodiles (Crocodylus porosus) hatchlings using current Code of Practice guidelines","Finger, J.W. and Thomson, P.C. and Adams, A.L. and Benedict, S. and Moran, C. and Isberg, S.R.","General and Comparative Endocrinology","00166480","212",NA,"63-72","2015","Academic Press Inc.","10.1016/j.ygcen.2015.01.023","To determine reference levels for on-farm stressors on immune responsiveness and growth rate, 253 hatchling crocodiles from 11 known breeding pairs were repeatedly measured and blood sampled during their first year. Plasma corticosterone (CORT) was used to quantify baseline stress levels in captive animals and were found to be lower (mean 1.83. . SE 0.16. ng/mL) than previously reported in saltwater crocodile hatchlings. Two tests of immune function were also conducted. Innate constitutive immunity was assessed using bacterial killing assays (BKA) against two bacterial species: Escherichia coli and Providencia rettgeri, whereby the latter causes considerable economic loss to industry from septicaemic mortalities. Although the bactericidal capabilities were different at approximately 4. months old (32. . 3% for E. coli and 16. . 4% for P. rettgeri), the differences had disappeared by approximately 9. months old (58. . 2% and 68. . 6%, respectively). To assess immune responsiveness to a novel antigen, the inflammatory swelling response caused by phytohaemagglutinin (PHA) injection was assessed but was only significantly different between Samplings 1 and 3 (5% LSD). There were no significant clutch effects for CORT or PHA but there were for both BKA traits. CORT was not significantly associated with growth (head length) or the immune parameters except for P. rettgeri BKA where higher CORT levels were associated with better bactericidal capability. As such, these results suggest that the crocodiles in this study are not stressed, therefore endorsing the management strategies adopted within the Australian industry Code of Practice.  2015 Elsevier Inc."
"Webster2015","Avian egg odour encodes information on embryo sex, fertility and development","Webster, B. and Hayes, W. and Pike, T.W.","PLoS ONE","19326203","10","1",NA,"2015","Public Library of Science","10.1371/journal.pone.0116345","Avian chemical communication is a rapidly emerging field, but has been hampered by a critical lack of information on volatile chemicals that communicate ecologically relevant information (semiochemicals). A possible, but as yet unexplored, function of olfaction and chemical communication in birds is in parent-embryo and embryo-embryo communication. Communication between parents and developing embryos may act to mediate parental behaviour, while communication between embryos can control the synchronicity of hatching. Embryonic vocalisations and vibrations have been implicated as a means of communication during the later stages of development but in the early stages, before embryos are capable of independent movement and vocalisation, this is not possible. Here we show that volatiles emitted from developing eggs of Japanese quail (Coturnix japonica) convey information on egg fertility, along with the sex and developmental status of the embryo. Specifically, egg volatiles changed over the course of incubation, differed between fertile and infertile eggs, and were predictive of embryo sex as early as day 1 of incubation. Egg odours therefore have the potential to facilitate parent-embryo and embryo-embryo interactions by allowing the assessment of key measures of embryonic development long before this is possible through other modalities. It also opens up the intriguing possibility that parents may be able to glean further relevant information from egg volatiles, such as the health, viability and heritage of embryos. By determining information conveyed by egg-derived volatiles, we hope to stimulate further investigation into the ecological role of egg odours.  2015 Webster et al."
